,rms_angle_error,rms_angle_error_rad,rms_rate_error,rms_human_torque,rms_robot_torque,rms_human_power,rms_robot_power,human_angle_cost,robot_angle_cost,human_angle_gain,robot_angle_gain,system_angle_cost,system_angle_gain,authority,condition,condition_number,repetition,cost_variability,rms_estimated_human_torque,settings,participant,conflict
0,6.552494226998109,0.1143625984790377,0.5374000957401918,0.3841077056335727,0.2559826234873465,0.19355386032476085,0.25938221448523974,6.496686993257783,6.736686993257783,1.4449151690125048,1.5257444669972695,13.232653365708583,2.9706759506332423,-0.29563558688980546,Positive Reinforcement,1,0,0.0,0.14954902925926436,Good Visuals,0,0.4921746544059436
1,7.1941391370296355,0.12556141478775065,0.523853044655015,0.34089738378496753,0.23911984297159958,0.17730260660322966,0.2657917189816603,3.1586022191429644,3.398412002725525,0.9887696768109164,1.103430816823995,6.558376655391717,2.0921470625590026,-0.3531431351317807,Positive Reinforcement,1,1,2.785702489794295,0.12897737341974833,Good Visuals,0,0.4548548796336407
4,6.482059681318622,0.11313328374978432,0.5177928442014857,0.3826404495922949,0.249642149294327,0.19385994698698963,0.25958614401149094,5.6672045456606845,5.906459500786076,1.3459096783673767,1.432294753439563,11.573674222064955,2.7782992490261815,-0.3263295858355064,Positive Reinforcement,1,2,2.6344780766657303,0.1420584456062819,Good Visuals,0,0.4897810218978102
5,6.437333048193221,0.11235265673841452,0.5181546686669648,0.3919606062608736,0.24297316634195631,0.1977751418968742,0.27831421601816897,6.2274181531999275,6.467418153199928,1.413610603570487,1.495991812130272,12.69423384028628,2.909672927497526,-0.2729534059746975,Positive Reinforcement,1,3,2.2009358611993357,0.14811347850565879,Good Visuals,0,0.4570503421309873
6,5.76827353200844,0.10067536528918979,0.474327616287261,0.3599910182027168,0.33540620728898946,0.11661598742215212,0.35538236273054563,3.4832699181796976,8.516730081820302,0.6538006491996561,2.3368365074476163,11.999245359699238,2.9907449515197646,-0.755760113054893,Negative Reinforcement,2,0,2.7001668244101795,0.08939160619773706,Good Visuals,0,0.5114457093891541
7,4.993792214519202,0.08715811630381906,0.41075423216297824,0.374333419223141,0.47072146266684783,0.0989320602574213,0.544576941253652,-5.819415253344513,12.0,-0.7433618152670374,4.286230715074533,6.180584746655487,3.5428915560704506,-1.2720375810400197,Negative Reinforcement,2,1,16.858166111415215,0.07809353193805399,Good Visuals,0,0.6422392486406328
8,5.04896973438539,0.08812114569856862,0.4176947130294086,0.36147173597703214,0.43457655181778354,0.06675654727197583,0.49186768652852764,-1.6146635100315136,12.0,-0.22532070234768542,3.696742517558505,10.385336489968486,3.4717537089877473,-1.0672497365015832,Negative Reinforcement,2,2,18.386346872428188,0.057875753306025846,Good Visuals,0,0.5969909976569244
9,5.297891198455521,0.09246564482547719,0.4703370264596222,0.37871895192298344,0.38514448942023854,0.06444304179476928,0.4332396840076806,0.7730141471109895,11.227380629213249,0.1172575410805967,3.235544742143144,11.995344686025554,3.352952219742266,-0.9695212027024888,Negative Reinforcement,2,3,17.26784559113309,0.04614198671920889,Good Visuals,0,0.57665665420217
14,3.928745341937906,0.06856954168920693,0.31570319939056746,0.43148354763653035,0.6679140075302612,0.30073275616977724,0.7944190822709444,-54.81568020204706,12.0,-3.854686746943627,9.037212301639196,-42.81568020204706,5.182482813285295,-1.9232210293461929,Negative Reinforcement,2,2,231.55399711653888,0.2325616944614802,Good Visuals,1,0.8191976897482579
15,4.271290660210441,0.07454808533035454,0.36427445206544123,0.407686037600359,0.5957763695545825,0.23368003008254926,0.7062606324884356,-26.152616440378353,12.0,-2.4098273775015033,6.629524766150815,-14.152616440378354,4.21970945130298,-1.6531677818987482,Negative Reinforcement,2,3,257.96596084543927,0.1830378261432272,Good Visuals,1,0.7760632292058712
